pick_number,pick_round,pick_subnumber,team_id,fantasy_team,keeper_indicator,player_name,player_pos,player_team
80,7,8,8,Team 8,0,,,
81,7,9,9,Team 9,0,,,
82,7,10,10,Team 10,0,,,
83,7,11,11,Team 11,0,,,
84,7,12,12,Team 12,0,,,
85,8,1,12,Team 12,0,,,
86,8,2,11,Team 11,0,,,
87,8,3,10,Team 10,0,,,
88,8,4,9,Team 9,0,,,
89,8,5,8,Team 8,0,,,
90,8,6,7,Team 7,0,,,
91,8,7,6,Team 6,0,,,
92,8,8,5,Team 5,0,,,
93,8,9,4,Team 4,0,,,
94,8,10,3,Team 3,0,,,
95,8,11,2,Team 2,0,,,
96,8,12,1,Team 1,0,,,
97,9,1,1,Team 1,0,,,
98,9,2,2,Team 2,0,,,
99,9,3,3,Team 3,0,,,
100,9,4,4,Team 4,0,,,
101,9,5,5,Team 5,0,,,
102,9,6,6,Team 6,0,,,
103,9,7,7,Team 7,0,,,
104,9,8,8,Team 8,0,,,
105,9,9,9,Team 9,0,,,
106,9,10,10,Team 10,0,,,
107,9,11,11,Team 11,0,,,
108,9,12,12,Team 12,0,,,
109,10,1,12,Team 12,0,,,
110,10,2,11,Team 11,0,,,
111,10,3,10,Team 10,0,,,
112,10,4,9,Team 9,0,,,
113,10,5,8,Team 8,0,,,
114,10,6,7,Team 7,0,,,
115,10,7,6,Team 6,0,,,
116,10,8,5,Team 5,0,,,
117,10,9,4,Team 4,0,,,
118,10,10,3,Team 3,0,,,
119,10,11,2,Team 2,0,,,
120,10,12,1,Team 1,0,,,
121,11,1,1,Team 1,0,,,
122,11,2,2,Team 2,0,,,
123,11,3,3,Team 3,0,,,
124,11,4,4,Team 4,0,,,
125,11,5,5,Team 5,0,,,
126,11,6,6,Team 6,0,,,
127,11,7,7,Team 7,0,,,
128,11,8,8,Team 8,0,,,
129,11,9,9,Team 9,0,,,
130,11,10,10,Team 10,0,,,
131,11,11,11,Team 11,0,,,
132,11,12,12,Team 12,0,,,
133,12,1,12,Team 12,0,,,
134,12,2,11,Team 11,0,,,
135,12,3,10,Team 10,0,,,
136,12,4,9,Team 9,0,,,
137,12,5,8,Team 8,0,,,
138,12,6,7,Team 7,0,,,
139,12,7,6,Team 6,0,,,
140,12,8,5,Team 5,0,,,
141,12,9,4,Team 4,0,,,
142,12,10,3,Team 3,0,,,
143,12,11,2,Team 2,0,,,
144,12,12,1,Team 1,0,,,
145,13,1,1,Team 1,0,,,
146,13,2,2,Team 2,0,,,
147,13,3,3,Team 3,0,,,
148,13,4,4,Team 4,0,,,
149,13,5,5,Team 5,0,,,
150,13,6,6,Team 6,0,,,
151,13,7,7,Team 7,0,,,
152,13,8,8,Team 8,0,,,
153,13,9,9,Team 9,0,,,
154,13,10,10,Team 10,0,,,
155,13,11,11,Team 11,0,,,
156,13,12,12,Team 12,0,,,
157,14,1,12,Team 12,0,,,
158,14,2,11,Team 11,0,,,
159,14,3,10,Team 10,0,,,
160,14,4,9,Team 9,0,,,
161,14,5,8,Team 8,0,,,
162,14,6,7,Team 7,0,,,
163,14,7,6,Team 6,0,,,
164,14,8,5,Team 5,0,,,
165,14,9,4,Team 4,0,,,
166,14,10,3,Team 3,0,,,
167,14,11,2,Team 2,0,,,
168,14,12,1,Team 1,0,,,
